,loss_sum,reconstruction_loss,kl_loss
0,370.05731201171875,128.0,242.05731201171875
1,392.1432189941406,134.21697998046875,257.9262390136719
2,252.16497802734375,128.0,124.16497802734375
3,286.2226867675781,128.0,158.22268676757812
4,359.9281005859375,128.0,231.92811584472656
5,272.230224609375,128.0,144.230224609375
6,478.8480224609375,128.0,350.8480224609375
7,199.93707275390625,128.0,71.93707275390625
8,378.616455078125,128.0,250.616455078125
9,405.44891357421875,128.0,277.44891357421875
10,352.150634765625,128.0,224.15065002441406
11,407.8309020996094,128.0,279.8309020996094
12,349.60614013671875,128.0,221.6061248779297
13,409.2528381347656,128.0,281.2528381347656
14,363.70098876953125,128.0,235.70098876953125
15,437.447021484375,131.0606689453125,306.3863525390625
16,409.0123291015625,128.0,281.0123291015625
17,355.77685546875,128.0,227.77687072753906
18,290.72564697265625,128.0,162.72564697265625
19,267.6994323730469,128.0,139.69943237304688
20,277.1924743652344,128.0,149.19247436523438
21,374.32720947265625,128.0,246.32720947265625
22,379.669189453125,128.0,251.669189453125
23,272.5401611328125,128.0,144.54017639160156
24,316.1224060058594,128.0,188.12240600585938
25,210.52740478515625,128.0,82.52740478515625
26,424.69281005859375,128.0,296.69281005859375
27,392.90997314453125,128.0,264.90997314453125
28,407.71392822265625,128.0,279.71392822265625
29,380.60003662109375,128.0,252.6000518798828
30,344.0619812011719,128.0,216.06198120117188
